0,1,2,3,4
5.8293786,7.1888795,5.9052005,-0.41228113,8.19195
6.4499865,6.3075404,7.3699374,-0.007681646,7.7817698
6.6410832,8.50664,6.1495867,-0.33271107,7.9448867
7.1475744,6.7956634,5.6631465,0.21959682,7.0482907
1.9262501,7.740953,5.8236585,0.97881156,7.03587
1.5009992,7.1266294,4.3825293,-0.52447355,7.1505685
3.128431,3.652726,5.4325953,0.6417848,7.082751
5.9915657,3.7822518,3.3507419,0.834856,7.68873
1.7939564,6.597253,4.1595025,-1.2137341,6.4507055
0.70214814,7.2690783,3.834167,0.6804233,7.9319043
7.049647,7.1457915,6.8589377,0.0386831,7.238373
0.40443054,7.267426,4.1870565,0.5786133,8.026405
6.0990386,3.8896494,3.4444342,0.59614456,7.536138
1.266578,7.5331907,5.4700613,1.4434384,7.3313794
1.2146628,5.3843837,4.6271925,1.31863,7.7482285
5.6615496,7.468481,6.3609014,-0.15770434,7.8534937
0.5627678,7.8184147,4.141512,-0.08668421,8.867203
0.93709373,5.79089,3.7064435,-0.0010083821,6.985447
0.2771252,6.497994,4.3990173,0.3684914,8.17651
3.8819945,5.2476664,6.025603,0.20793055,7.478335
5.6345997,5.3155375,6.436536,0.018722123,7.239356
4.8447633,7.780324,5.320566,-0.12167094,7.2021117
6.685973,7.041733,6.2560267,0.3747084,7.0151234
1.618872,7.143185,4.075853,-0.57799304,5.1568675
6.6474066,8.522151,6.1533723,-0.34296346,7.9575806
5.3700385,3.5372424,3.6305468,0.95318985,7.789286
3.4229214,2.4533615,4.840681,0.9552633,7.1029367
4.347644,2.9119644,4.393474,0.94882154,7.4735503
1.1900685,5.120233,4.6109886,1.3202298,7.9350038
1.0015677,7.280526,3.288848,0.6837838,7.760929
3.3380334,4.0472693,5.4253025,0.7669503,7.5029306
1.4925647,6.6200333,4.0572743,-0.87768316,5.7693357
4.352562,8.138551,4.8792405,0.02106718,6.495319
6.3868546,4.28041,3.7128248,0.775124,7.619095
